ID,Country,Institution,Farm,Block,Local Label,Lab_ID,DNA_ng_ul,Field_Group,Harvested_healthy,Harvested_infected,Dry_beans_kg,Latitude,Longitude
SOIL 01,Indonesia,MRCC,Tarengge,16,CAC_07,SOIL 01,4.6,8,9,22,0.5985,120.80545112300,-2.55245051500
SOIL 02,Indonesia,MRCC,Tarengge,16,CAC_10,SOIL 02,4.8,8,12,3,0.87605,120.80550638500,-2.55245300500
SOIL 33,Indonesia,MRCC,Tarengge,16,CAC_101,SOIL 33,7.2,12,14,0,0.6573,120.80542074500,-2.55268503100
SOIL 34,Indonesia,MRCC,Tarengge,16,CAC_103,SOIL 34,6.2,11,1,15,0.1211,120.80542056700,-2.55262827100
SOIL 35,Indonesia,MRCC,Tarengge,16,CAC_106,SOIL 35,5.4,2,7,9,0.5341,120.80537888800,-2.55265017500
SOIL 03,Indonesia,MRCC,Tarengge,16,CAC_11,SOIL 03,4.7,13,9,3,0.6125,120.80553167900,-2.55247976600
SOIL 36,Indonesia,MRCC,Tarengge,16,CAC_112,SOIL 36,5.3,3,7,5,0.5593,120.80544418400,-2.55272911800
SOIL 37,Indonesia,MRCC,Tarengge,16,CAC_115,SOIL 37,5.6,3,21,17,1.28443,120.80552598400,-2.55273181300
SOIL 38,Indonesia,MRCC,Tarengge,16,CAC_116,SOIL 38,6,16,5,4,0.40495,120.80552694000,-2.55270517800
SOIL 39,Indonesia,MRCC,Tarengge,16,CAC_118,SOIL 39,5.3,4,9,12,0.5789,120.80557939000,-2.55273312800
SOIL 40,Indonesia,MRCC,Tarengge,16,CAC_121,SOIL 40,6.7,4,14,15,0.78736,120.80564642200,-2.55273565900
SOIL 41,Indonesia,MRCC,Tarengge,16,CAC_131,SOIL 41,6.1,32,13,3,0.8491,120.80543709900,-2.55290030900
SOIL 42,Indonesia,MRCC,Tarengge,16,CAC_134,SOIL 42,5.4,37,17,7,1.12805,120.80551787600,-2.55292930800
SOIL 43,Indonesia,MRCC,Tarengge,16,CAC_135,SOIL 43,6.4,32,17,5,1.1228,120.80551809200,-2.55290294600
SOIL 44,Indonesia,MRCC,Tarengge,16,CAC_137,SOIL 44,6.3,31,14,12,1.1389,120.80557368200,-2.55290448300
SOIL 45,Indonesia,MRCC,Tarengge,16,CAC_140,SOIL 45,7.1,31,26,2,1.5477,120.80564054900,-2.55290601400
SOIL 46,Indonesia,MRCC,Tarengge,16,CAC_144,SOIL 46,4.8,30,30,5,2.23265,120.80569347800,-2.55290755000
SOIL 04,Indonesia,MRCC,Tarengge,16,CAC_15,SOIL 04,4.7,7,20,4,1.13624,120.80558629100,-2.55245513600
SOIL 47,Indonesia,MRCC,Tarengge,16,CAC_151,SOIL 47,6.4,30,3,23,0.36855,120.80567880500,-2.55298826000
SOIL 48,Indonesia,MRCC,Tarengge,16,CAC_153,SOIL 48,5.6,46,14,8,0.7861,120.80562272200,-2.55299047600
SOIL 49,Indonesia,MRCC,Tarengge,16,CAC_154,SOIL 49,7.2,45,2,2,0.2191,120.80563785300,-2.55296051600
SOIL 50,Indonesia,MRCC,Tarengge,16,CAC_156,SOIL 50,7.3,41,17,8,1.03075,120.80559668500,-2.55294630200
SOIL 51,Indonesia,MRCC,Tarengge,16,CAC_158,SOIL 51,6.3,42,5,14,0.4865,120.80559491500,-2.55299720600
SOIL 52,Indonesia,MRCC,Tarengge,16,CAC_160,SOIL 52,5.3,42,13,4,0.74025,120.80554446000,-2.55299724700
SOIL 53,Indonesia,MRCC,Tarengge,16,CAC_162,SOIL 53,5.2,41,13,5,0.75285,120.80554542000,-2.55294443000
SOIL 54,Indonesia,MRCC,Tarengge,16,CAC_163,SOIL 54,6.7,38,10,10,0.64365,120.80550222900,-2.55299744100
SOIL 55,Indonesia,MRCC,Tarengge,16,CAC_166,SOIL 55,8.3,33,9,4,0.6013,120.80546241900,-2.55294310500
SOIL 56,Indonesia,MRCC,Tarengge,16,CAC_168,SOIL 56,5.9,34,8,5,0.504,120.80545972800,-2.55299366000
SOIL 57,Indonesia,MRCC,Tarengge,16,CAC_170,SOIL 57,5.9,34,3,3,0.2779,120.80540906500,-2.55299280400
SOIL 58,Indonesia,MRCC,Tarengge,16,CAC_172,SOIL 58,6.4,33,4,11,0.33425,120.80541815600,-2.55294321400
SOIL 59,Indonesia,MRCC,Tarengge,16,CAC_176,SOIL 59,5.3,25,4,1,0.3528,120.80536793000,-2.55296705900
SOIL 05,Indonesia,MRCC,Tarengge,16,CAC_18,SOIL 05,4.1,7,18,13,1.3118,120.80565271900,-2.55245728800
SOIL 60,Indonesia,MRCC,Tarengge,16,CAC_181,SOIL 60,5.5,34,12,7,0.7665,120.80542999300,-2.55303474500
SOIL 61,Indonesia,MRCC,Tarengge,16,CAC_188,SOIL 61,8.9,42,0,0,0,120.80556774500,-2.55304056600
SOIL 62,Indonesia,MRCC,Tarengge,16,CAC_196,SOIL 62,4.5,29,5,33,0.959,120.80568766400,-2.55307090100
SOIL 63,Indonesia,MRCC,Tarengge,16,CAC_200,SOIL 63,5.6,29,12,10,0.67655,120.80568660400,-2.55311875300
SOIL 64,Indonesia,MRCC,Tarengge,16,CAC_205,SOIL 64,6,48,12,10,0.86135,120.80563272000,-2.55312311400
SOIL 65,Indonesia,MRCC,Tarengge,16,CAC_206,SOIL 65,4.6,47,0,0,0,120.80562490700,-2.55309008300
SOIL 66,Indonesia,MRCC,Tarengge,16,CAC_209,SOIL 66,3.8,43,5,3,0.36855,120.80559090100,-2.55308296600
SOIL 67,Indonesia,MRCC,Tarengge,16,CAC_211,SOIL 67,6.5,44,5,14,0.574,120.80558939300,-2.55313353800
SOIL 68,Indonesia,MRCC,Tarengge,16,CAC_213,SOIL 68,7.5,44,4,8,0.231,120.80553982600,-2.55313139400
SOIL 69,Indonesia,MRCC,Tarengge,16,CAC_215,SOIL 69,5,43,4,0,0.2646,120.80554004900,-2.55308204500
SOIL 70,Indonesia,MRCC,Tarengge,16,CAC_218,SOIL 70,3.5,39,18,1,0.945,120.80550148800,-2.55308881600
SOIL 06,Indonesia,MRCC,Tarengge,16,CAC_22,SOIL 06,4.2,6,10,15,0.7091,120.80570693400,-2.55245849400
SOIL 71,Indonesia,MRCC,Tarengge,16,CAC_221,SOIL 71,10.8,35,27,3,1.29395,120.80545722000,-2.55308009900
SOIL 72,Indonesia,MRCC,Tarengge,16,CAC_223,SOIL 72,5.5,36,9,8,0.54845,120.80545714700,-2.55313892400
SOIL 73,Indonesia,MRCC,Tarengge,16,CAC_225,SOIL 73,6.2,36,18,5,1.1214,120.80540358300,-2.55312864500
SOIL 74,Indonesia,MRCC,Tarengge,16,CAC_227,SOIL 74,5.5,35,6,17,0.51835,120.80540513000,-2.55307709500
SOIL 75,Indonesia,MRCC,Tarengge,16,CAC_231,SOIL 75,4.4,26,10,12,0.90545,120.80536278600,-2.55310165600
SOIL 76,Indonesia,MRCC,Tarengge,16,CAC_239,SOIL 76,6.1,27,18,27,1.1795,120.80541815600,-2.55318197700
SOIL 77,Indonesia,MRCC,Tarengge,16,CAC_243,SOIL 77,4.6,27,14,32,0.93485,120.80550093600,-2.55318494800
SOIL 78,Indonesia,MRCC,Tarengge,16,CAC_244,SOIL 78,4.6,40,10,2,0.71785,120.80551153200,-2.55315532100
SOIL 79,Indonesia,MRCC,Tarengge,16,CAC_247,SOIL 79,4.6,28,25,7,1.3622,120.80557683100,-2.55317609800
SOIL 80,Indonesia,MRCC,Tarengge,16,CAC_250,SOIL 80,3.9,28,7,18,0.336,120.80563036300,-2.55317733300
SOIL 07,Indonesia,MRCC,Tarengge,16,CAC_28,SOIL 07,4,6,13,15,1.1851,120.80569129100,-2.55253930200
SOIL 08,Indonesia,MRCC,Tarengge,16,CAC_31,SOIL 08,3.9,21,0,0,0,120.80565200000,-2.55251128600
SOIL 09,Indonesia,MRCC,Tarengge,16,CAC_32,SOIL 09,6.2,22,10,10,0.6468,120.80563733200,-2.55254995400
SOIL 10,Indonesia,MRCC,Tarengge,16,CAC_34,SOIL 10,4.4,17,20,4,1.2726,120.80561030700,-2.55249656100
SOIL 11,Indonesia,MRCC,Tarengge,16,CAC_35,SOIL 11,4.5,18,1,3,0.16205,120.80560658000,-2.55254985500
SOIL 12,Indonesia,MRCC,Tarengge,16,CAC_37,SOIL 12,4.6,18,12,0,0.68145,120.80555787100,-2.55254700900
SOIL 13,Indonesia,MRCC,Tarengge,16,CAC_39,SOIL 13,3.9,17,11,6,0.7742,120.80555971700,-2.55249636700
SOIL 14,Indonesia,MRCC,Tarengge,16,CAC_41,SOIL 14,3.5,14,2,2,0.11795,120.80551581800,-2.55254643400
SOIL 15,Indonesia,MRCC,Tarengge,16,CAC_42,SOIL 15,3.7,9,17,6,1.015,120.80547525000,-2.55249275100
SOIL 16,Indonesia,MRCC,Tarengge,16,CAC_44,SOIL 16,3.9,10,5,9,0.48055,120.80547418700,-2.55254488600
SOIL 17,Indonesia,MRCC,Tarengge,16,CAC_46,SOIL 17,4.4,10,6,8,0.53725,120.80542342300,-2.55254250600
SOIL 18,Indonesia,MRCC,Tarengge,16,CAC_48,SOIL 18,5,9,12,8,1.39055,120.80542441600,-2.55249109600
SOIL 19,Indonesia,MRCC,Tarengge,16,CAC_50,SOIL 19,3.6,1,3,2,0.13195,120.80538230900,-2.55251573300
SOIL 20,Indonesia,MRCC,Tarengge,16,CAC_57,SOIL 20,5,11,8,11,0.5705,120.80544734400,-2.55258608800
SOIL 21,Indonesia,MRCC,Tarengge,16,CAC_64,SOIL 21,5.1,19,0,0,0,120.80558151400,-2.55259067700
SOIL 22,Indonesia,MRCC,Tarengge,16,CAC_75,SOIL 22,6.6,5,17,12,1.14415,,
SOIL 23,Indonesia,MRCC,Tarengge,16,CAC_78,SOIL 23,4.2,5,0,20,0.168,120.80570222500,-2.55268390100
SOIL 24,Indonesia,MRCC,Tarengge,16,CAC_81,SOIL 24,6.3,24,0,0,0,120.80564863900,-2.55268207100
SOIL 25,Indonesia,MRCC,Tarengge,16,CAC_82,SOIL 25,6.5,23,0,0,0,120.80564448100,-2.55264303400
SOIL 26,Indonesia,MRCC,Tarengge,16,CAC_85,SOIL 26,4.5,19,1,11,0.14875,120.80560796400,-2.55264146800
SOIL 27,Indonesia,MRCC,Tarengge,16,CAC_87,SOIL 27,5.9,20,3,15,0.33705,120.80560437900,-2.55269221900
SOIL 28,Indonesia,MRCC,Tarengge,16,CAC_89,SOIL 28,5.2,20,1,16,0.11935,120.80555553300,-2.55269006300
SOIL 29,Indonesia,MRCC,Tarengge,16,CAC_91,SOIL 29,7.2,19,3,7,0.11865,120.80555801600,-2.55263969000
SOIL 30,Indonesia,MRCC,Tarengge,16,CAC_94,SOIL 30,4.4,15,6,3,0.49105,120.80551538600,-2.55263750700
SOIL 31,Indonesia,MRCC,Tarengge,16,CAC_97,SOIL 31,4.9,11,5,12,0.44751,120.80547314700,-2.55263576400
SOIL 32,Indonesia,MRCC,Tarengge,16,CAC_99,SOIL 32,5,12,13,2,0.68992,120.80547133700,-2.55268781100
SOIL 81,Indonesia,MRCC,Tarengge,17,Control_01,SOIL 81,6.5,Block 17,,,,120.805886,-2.552520
SOIL 82,Indonesia,MRCC,Tarengge,17,Control_02,SOIL 82,6.1,Block 17,,,,120.805972,-2.552495
SOIL 83,Indonesia,MRCC,Tarengge,17,Control_03,SOIL 83,5.6,Block 17,,,,120.806067,-2.552524
SOIL 84,Indonesia,MRCC,Tarengge,17,Control_04,SOIL 84,4.7,Block 17,,,,120.806159,-2.552523
SOIL 85,Indonesia,MRCC,Tarengge,17,Control_05,SOIL 85,4.6,Block 17,,,,120.806253,-2.552568
SOIL 86,Indonesia,MRCC,Tarengge,17,Control_06,SOIL 86,6.4,Block 17,,,,120.805881,-2.552785
SOIL 87,Indonesia,MRCC,Tarengge,17,Control_07,SOIL 87,5.5,Block 17,,,,120.805989,-2.552821
SOIL 88,Indonesia,MRCC,Tarengge,17,Control_08,SOIL 88,5.7,Block 17,,,,120.806124,-2.552809
SOIL 89,Indonesia,MRCC,Tarengge,17,Control_09,SOIL 89,8,Block 17,,,,120.806100,-2.552887
SOIL 90,Indonesia,MRCC,Tarengge,17,Control_10,SOIL 90,11,Block 17,,,,120.805981,-2.552905
SOIL 91,Indonesia,MRCC,Tarengge,17,Control_11,SOIL 91,4.5,Block 17,,,,120.805861,-2.552877
SOIL 92,Indonesia,MRCC,Tarengge,17,Control_12,SOIL 92,4.5,Block 17,,,,120.806114,-2.552999
SOIL 93,Indonesia,MRCC,Tarengge,17,Control_13,SOIL 93,11,Block 17,,,,120.806006,-2.553007
SOIL 94,Indonesia,MRCC,Tarengge,17,Control_14,SOIL 94,10.9,Block 17,,,,120.805877,-2.552978
SOIL 95,Indonesia,MRCC,Tarengge,17,Control_15,SOIL 95,6.2,Block 17,,,,120.806092,-2.553076
SOIL 96,Indonesia,MRCC,Tarengge,17,Control_16,SOIL 96,4.2,Block 17,,,,120.805972,-2.553097
SOIL 97,Indonesia,MRCC,Tarengge,17,Control_17,SOIL 97,5.1,Block 17,,,,120.805828,-2.553077
SOIL 98,Indonesia,MRCC,Tarengge,17,Control_18,SOIL 98,6.4,Block 17,,,,120.806104,-2.553165
SOIL 99,Indonesia,MRCC,Tarengge,17,Control_19,SOIL 99,7.2,Block 17,,,,120.805988,-2.553200
SOIL 100,Indonesia,MRCC,Tarengge,17,Control_20,SOIL 100,7.6,Block 17,,,,120.805868,-2.553168
